State,City Tier,Brand,Year of Manufacture,Owner Type,Seller Type,Fuel Type,Insurance Status,Price (INR),Registration Year,Avg Daily Distance (km),Engine Capacity (cc),Mileage (km/l),Efficiency score,Daily fuel consumption,Resale Price (INR),Resale score,Model,Depreciation
Gujarat,Tier 1,Yamaha,2021,Second,Dealer,Electric,Not Available,"93,907.00 ",2022,68.57,527,78.21,0.15,0.88,"72,972.36 ",23477,Ray ZR,20934.64
Punjab,Tier 1,KTM,2021,Second,Individual,Petrol,Expired,"51,911.00 ",2022,56.72,519,47.68,0.09,1.19,"29,643.72 ",12978,390 Adventure,22267.28
Uttar Pradesh,Tier 1,Hero,2015,Second,Individual,Electric,Expired,"3,94,469.00 ",2022,10.77,167,92.87,0.56,0.12,"2,17,482.98 ",39447,Xtreme 160R,176986.02
Rajasthan,Tier 1,Yamaha,2020,Second,Individual,Hybrid,Not Available,"2,42,740.00 ",2022,18.07,285,68.53,0.24,0.26,"1,84,711.04 ",48548,MT-15,58028.96
Uttar Pradesh,Tier 1,TVS,2021,Second,Dealer,Hybrid,Active,"3,82,368.00 ",2022,63.98,149,93.83,0.63,0.68,"1,76,107.43 ",95592,Apache RTR 160,206260.57
West Bengal,Tier 1,TVS,2020,Second,Individual,Petrol,Active,"68,261.00 ",2022,45.67,626,36,0.06,1.27,"48,645.78 ",13653,Apache RTR 160,19615.22
Maharashtra,Tier 1,Hero,2018,Second,Dealer,Hybrid,Active,"3,65,868.00 ",2022,38.23,321,67.94,0.21,0.56,"1,89,300.15 ",52267,Glamour,176567.85
Karnataka,Tier 1,Royal Enfield,2019,Second,Dealer,Hybrid,Active,"1,43,805.00 ",2022,55.98,708,80.92,0.11,0.69,"95,956.87 ",23968,Interceptor 650,47848.13
Tamil Nadu,Tier 1,Hero,2020,Second,Dealer,Petrol,Expired,"3,31,259.00 ",2022,52.07,774,42.13,0.05,1.24,"1,33,030.29 ",66252,Splendor Plus,198228.71
Tamil Nadu,Tier 1,Bajaj,2017,Second,Individual,Petrol,Active,"1,07,788.00 ",2022,66.55,146,44.11,0.3,1.51,"50,260.86 ",13474,Pulsar 150,57527.14
Tamil Nadu,Tier 1,Hero,2017,Second,Individual,Hybrid,Expired,"1,03,676.00 ",2022,64.49,297,67.47,0.23,0.96,"70,967.99 ",12960,Passion Pro,32708.01
Maharashtra,Tier 1,Bajaj,2019,Second,Individual,Hybrid,Not Available,"1,12,295.00 ",2022,20,919,71.85,0.08,0.28,"88,293.80 ",18716,CT 100,24001.2
Maharashtra,Tier 1,Kawasaki,2015,Second,Dealer,Petrol,Active,"3,43,338.00 ",2022,60.6,212,52.03,0.25,1.16,"2,04,239.69 ",34334,Ninja 400,139098.31
Tamil Nadu,Tier 1,Honda,2018,Second,Individual,Hybrid,Not Available,"1,90,386.00 ",2022,56.06,988,92.47,0.09,0.61,"1,21,090.38 ",27198,Shine,69295.62
Maharashtra,Tier 1,Hero,2015,Second,Individual,Hybrid,Active,"3,61,909.00 ",2022,74.47,621,82.54,0.13,0.9,"1,93,102.14 ",36191,HF Deluxe,168806.86
Gujarat,Tier 1,KTM,2021,Second,Individual,Hybrid,Not Available,"3,28,348.00 ",2022,13.36,732,88.09,0.12,0.15,"2,50,192.69 ",82087,Duke 200,78155.31
West Bengal,Tier 1,Bajaj,2021,Second,Dealer,Electric,Active,"3,33,612.00 ",2022,22.87,770,66.37,0.09,0.34,"2,46,078.28 ",83403,Dominar 400,87533.72
Punjab,Tier 1,Honda,2019,Second,Dealer,Hybrid,Active,"82,694.00 ",2022,62,865,90.67,0.1,0.68,"45,545.36 ",13783,CBR 650R,37148.64
West Bengal,Tier 1,Hero,2021,Second,Dealer,Electric,Not Available,"3,28,376.00 ",2022,77.63,880,71.64,0.08,1.08,"1,38,617.05 ",82094,Glamour,189758.95
Maharashtra,Tier 1,Yamaha,2019,Second,Individual,Hybrid,Not Available,"3,71,021.00 ",2022,11.99,542,70.63,0.13,0.17,"1,96,208.96 ",61837,MT-15,174812.04
Maharashtra,Tier 1,TVS,2019,Second,Dealer,Electric,Expired,"3,09,971.00 ",2022,47.62,423,73.11,0.17,0.65,"2,27,016.99 ",51662,Ronin,82954.01
Tamil Nadu,Tier 1,TVS,2018,Second,Individual,Electric,Not Available,"2,29,729.00 ",2022,8.81,714,63.03,0.09,0.14,"1,39,643.62 ",32819,Sport,90085.38
Punjab,Tier 1,Bajaj,2020,Second,Dealer,Petrol,Not Available,"3,66,557.00 ",2022,56.77,744,40.13,0.05,1.41,"1,48,456.38 ",73312,Platina 110,218100.62
Maharashtra,Tier 1,Yamaha,2019,Second,Dealer,Hybrid,Not Available,"2,58,070.00 ",2022,15.17,689,89.59,0.13,0.17,"1,26,771.73 ",43012,R15 V4,131298.27
Maharashtra,Tier 1,Bajaj,2020,Second,Dealer,Hybrid,Expired,"97,238.00 ",2022,46.63,255,91.05,0.36,0.51,"49,411.88 ",19448,Avenger 220,47826.12
Madhya Pradesh,Tier 1,TVS,2016,Second,Dealer,Petrol,Not Available,"1,32,777.00 ",2022,55.64,335,56.2,0.17,0.99,"71,767.90 ",14753,NTorq 125,61009.1
Madhya Pradesh,Tier 1,Hero,2019,Second,Individual,Electric,Expired,"1,64,670.00 ",2022,61.66,473,63.87,0.14,0.97,"88,835.78 ",27445,Xtreme 160R,75834.22
Gujarat,Tier 1,Yamaha,2020,Second,Individual,Hybrid,Active,"3,51,179.00 ",2022,31.91,152,77.37,0.51,0.41,"1,91,284.33 ",70236,FZ V3,159894.67
Tamil Nadu,Tier 1,Royal Enfield,2019,Second,Individual,Electric,Not Available,"2,30,026.00 ",2022,74.93,220,81.37,0.37,0.92,"1,26,586.28 ",38338,Meteor 350,103439.72
Maharashtra,Tier 1,Honda,2018,Second,Dealer,Electric,Not Available,"2,02,614.00 ",2022,36.61,223,81.74,0.37,0.45,"1,25,879.01 ",28945,CBR 650R,76734.99
Karnataka,Tier 1,Yamaha,2021,Second,Individual,Hybrid,Expired,"51,753.00 ",2022,55.36,848,84.92,0.1,0.65,"34,612.13 ",12939,Ray ZR,17140.87
Delhi,Tier 1,Hero,2018,Second,Dealer,Electric,Not Available,"2,87,314.00 ",2022,43.07,189,87.1,0.46,0.49,"1,35,508.21 ",41045,Glamour,151805.79
Uttar Pradesh,Tier 1,KTM,2015,Second,Dealer,Electric,Expired,"78,385.00 ",2022,12.72,516,90.67,0.18,0.14,"40,278.10 ",7839,125 Duke,38106.9
Punjab,Tier 1,Honda,2021,Second,Individual,Petrol,Active,"3,33,201.00 ",2022,79.79,475,59.15,0.12,1.35,"1,94,521.81 ",83301,Activa,138679.19
Karnataka,Tier 1,KTM,2017,Second,Dealer,Electric,Active,"2,65,971.00 ",2022,29.44,776,88.86,0.11,0.33,"2,08,381.83 ",33247,Duke 200,57589.17
Rajasthan,Tier 1,Honda,2017,Second,Individual,Petrol,Active,"3,22,940.00 ",2022,35.36,444,50.38,0.11,0.7,"1,38,437.51 ",40368,Dio,184502.49
Delhi,Tier 1,Hero,2019,Second,Individual,Hybrid,Expired,"3,49,664.00 ",2022,31.49,547,66.38,0.12,0.47,"1,74,859.82 ",58278,Glamour,174804.18
Delhi,Tier 1,Honda,2016,Second,Individual,Hybrid,Expired,"2,27,003.00 ",2022,50.23,840,96.14,0.11,0.52,"1,43,341.70 ",25223,Dio,83661.3
Rajasthan,Tier 1,Royal Enfield,2016,Second,Dealer,Electric,Expired,"3,44,022.00 ",2022,19,982,74.86,0.08,0.25,"2,35,619.73 ",38225,Meteor 350,108402.27
West Bengal,Tier 1,Royal Enfield,2021,Second,Individual,Hybrid,Not Available,"1,07,249.00 ",2022,55.16,473,86.16,0.18,0.64,"57,556.18 ",26813,Hunter 350,49692.82
Tamil Nadu,Tier 1,Kawasaki,2016,Second,Individual,Electric,Active,"66,661.00 ",2022,53.25,509,87.03,0.17,0.61,"38,617.72 ",7407,Ninja 400,28043.28
Tamil Nadu,Tier 1,Honda,2021,Second,Individual,Hybrid,Active,"2,45,736.00 ",2022,5.44,117,67.65,0.58,0.08,"1,75,411.26 ",61434,Activa,70324.74
Madhya Pradesh,Tier 1,Bajaj,2021,Second,Dealer,Hybrid,Not Available,"3,38,124.00 ",2022,60.36,854,67.18,0.08,0.9,"2,66,201.55 ",84531,Avenger 220,71922.45
Rajasthan,Tier 1,KTM,2021,Second,Individual,Electric,Active,"3,69,006.00 ",2022,76.79,612,88.72,0.14,0.87,"1,60,797.26 ",92252,390 Adventure,208208.74
Rajasthan,Tier 1,KTM,2019,Second,Individual,Hybrid,Not Available,"3,44,896.00 ",2022,71.83,858,90.78,0.11,0.79,"2,75,429.67 ",57483,RC 390,69466.33
Madhya Pradesh,Tier 1,Kawasaki,2019,Second,Dealer,Electric,Expired,"1,73,144.00 ",2022,75.47,720,88.91,0.12,0.85,"1,37,518.04 ",28858,Versys 650,35625.96
Maharashtra,Tier 1,Kawasaki,2015,Second,Dealer,Petrol,Expired,"1,54,383.00 ",2022,49.03,733,39.68,0.05,1.24,"92,365.68 ",15439,Versys 650,62017.32
Maharashtra,Tier 1,Honda,2021,Second,Dealer,Petrol,Expired,"3,41,975.00 ",2022,17.37,633,32.15,0.05,0.54,"2,10,110.35 ",85494,Dio,131864.65
Delhi,Tier 1,KTM,2016,Second,Dealer,Hybrid,Expired,"3,86,866.00 ",2022,42.74,433,96.9,0.22,0.44,"2,24,483.94 ",42986,RC 390,162382.06
Delhi,Tier 1,TVS,2020,Second,Individual,Hybrid,Not Available,"3,18,397.00 ",2022,55.04,979,64.15,0.07,0.86,"2,39,949.11 ",63680,Ronin,78447.89
Delhi,Tier 1,Honda,2018,Second,Individual,Petrol,Active,"3,60,633.00 ",2022,6.37,774,57.87,0.07,0.11,"2,51,985.92 ",51519,Activa,108647.08
Punjab,Tier 1,Honda,2019,Second,Dealer,Electric,Not Available,"3,83,304.00 ",2022,53.09,651,69.17,0.11,0.77,"2,13,137.56 ",63884,Unicorn,170166.44
Maharashtra,Tier 1,Bajaj,2020,Second,Dealer,Hybrid,Active,"1,99,055.00 ",2022,43.24,288,98.13,0.34,0.44,"1,01,061.55 ",39811,Avenger 220,97993.45
Madhya Pradesh,Tier 1,Bajaj,2019,Second,Individual,Electric,Active,"3,83,892.00 ",2022,5.74,541,92.75,0.17,0.06,"2,48,501.30 ",63982,Avenger 220,135390.7
Uttar Pradesh,Tier 1,Yamaha,2021,Second,Dealer,Petrol,Expired,"3,11,259.00 ",2022,24.33,629,59.99,0.1,0.41,"1,41,514.88 ",77815,R15 V4,169744.12
Delhi,Tier 1,Kawasaki,2016,Second,Individual,Hybrid,Expired,"2,72,158.00 ",2022,48.25,767,92.49,0.12,0.52,"2,07,782.81 ",30240,Z650,64375.19
Maharashtra,Tier 1,Kawasaki,2019,Second,Dealer,Electric,Not Available,"2,65,258.00 ",2022,15.83,854,83.19,0.1,0.19,"1,85,446.53 ",44210,Vulcan S,79811.47
Delhi,Tier 1,TVS,2017,Second,Individual,Hybrid,Expired,"1,57,913.00 ",2022,22.82,276,74.66,0.27,0.31,"89,861.77 ",19740,Jupiter,68051.23
Gujarat,Tier 1,Kawasaki,2016,Second,Dealer,Electric,Expired,"3,08,320.00 ",2022,46.11,741,94.38,0.13,0.49,"1,96,236.13 ",34258,Ninja 400,112083.87
Uttar Pradesh,Tier 1,Yamaha,2020,Second,Dealer,Petrol,Not Available,"1,48,441.00 ",2022,54.92,991,58,0.06,0.95,"75,042.91 ",29689,MT-15,73398.09
Delhi,Tier 1,KTM,2021,Second,Dealer,Petrol,Not Available,"2,74,473.00 ",2022,15.03,572,57.64,0.1,0.26,"1,73,135.53 ",68619,Duke 200,101337.47
Rajasthan,Tier 1,Hero,2015,Second,Individual,Electric,Active,"1,17,069.00 ",2022,71.18,664,63.8,0.1,1.12,"89,484.99 ",11707,Splendor Plus,27584.01
Gujarat,Tier 1,KTM,2021,Second,Dealer,Electric,Expired,"51,260.00 ",2022,61.61,608,95.91,0.16,0.64,"29,094.35 ",12815,Duke 200,22165.65
Rajasthan,Tier 1,Bajaj,2019,Second,Dealer,Hybrid,Active,"3,76,499.00 ",2022,17.38,864,69.74,0.08,0.25,"1,89,605.25 ",62750,Pulsar 150,186893.75
Rajasthan,Tier 1,Royal Enfield,2015,Second,Dealer,Petrol,Not Available,"67,135.00 ",2022,65.82,554,27.51,0.05,2.39,"40,124.81 ",6714,Interceptor 650,27010.19
Madhya Pradesh,Tier 1,Bajaj,2020,Second,Dealer,Petrol,Expired,"3,29,124.00 ",2022,39.62,368,54.56,0.15,0.73,"1,88,423.58 ",65825,Dominar 400,140700.42
Tamil Nadu,Tier 1,TVS,2018,Second,Individual,Petrol,Expired,"2,53,566.00 ",2022,41.48,748,48.78,0.07,0.85,"1,98,082.31 ",36224,Jupiter,55483.69
Karnataka,Tier 1,KTM,2021,Second,Individual,Petrol,Expired,"1,86,392.00 ",2022,49.95,193,30.65,0.16,1.63,"1,45,272.90 ",46598,250 Duke,41119.1
Karnataka,Tier 1,KTM,2021,Second,Individual,Petrol,Active,"2,58,613.00 ",2022,74.86,329,46.01,0.14,1.63,"1,12,812.66 ",64654,390 Adventure,145800.34
Delhi,Tier 1,TVS,2020,Second,Dealer,Electric,Active,"3,52,851.00 ",2022,73.47,309,62.34,0.2,1.18,"2,55,501.27 ",70571,Apache RTR 160,97349.73
Delhi,Tier 1,Bajaj,2019,Second,Individual,Petrol,Active,"71,762.00 ",2022,58.79,662,33.99,0.05,1.73,"37,093.45 ",11961,Dominar 400,34668.55
Madhya Pradesh,Tier 1,Hero,2021,Second,Dealer,Petrol,Not Available,"3,54,413.00 ",2022,53.6,847,29.85,0.04,1.8,"2,48,461.31 ",88604,HF Deluxe,105951.69
Punjab,Tier 1,Bajaj,2019,Second,Dealer,Electric,Not Available,"3,66,644.00 ",2022,59.05,282,66.37,0.24,0.89,"2,81,850.81 ",61108,Dominar 400,84793.19
Uttar Pradesh,Tier 1,Kawasaki,2021,Second,Individual,Hybrid,Not Available,"1,81,522.00 ",2022,26.1,320,93.83,0.29,0.28,"1,36,920.11 ",45381,Ninja 300,44601.89
Rajasthan,Tier 1,Bajaj,2021,Second,Individual,Hybrid,Active,"2,43,240.00 ",2022,42.68,616,66.59,0.11,0.64,"1,27,874.75 ",60810,Pulsar 150,115365.25
Punjab,Tier 1,Hero,2015,Second,Dealer,Hybrid,Not Available,"1,73,214.00 ",2022,57.02,751,92.14,0.12,0.62,"98,212.45 ",17322,Xtreme 160R,75001.55
Rajasthan,Tier 1,TVS,2020,Second,Individual,Electric,Active,"2,12,917.00 ",2022,71.85,734,93.43,0.13,0.77,"1,09,683.58 ",42584,Ronin,103233.42
Karnataka,Tier 1,Kawasaki,2020,Second,Dealer,Electric,Expired,"2,06,514.00 ",2022,45.93,672,92.27,0.14,0.5,"1,56,067.75 ",41303,Ninja 400,50446.25
Delhi,Tier 1,Bajaj,2018,Second,Dealer,Hybrid,Active,"1,93,745.00 ",2022,55.05,948,97.33,0.1,0.57,"96,319.54 ",27678,Avenger 220,97425.46
Rajasthan,Tier 1,Hero,2017,Second,Individual,Electric,Not Available,"2,95,735.00 ",2022,52.07,996,80.48,0.08,0.65,"2,30,208.09 ",36967,HF Deluxe,65526.91
Uttar Pradesh,Tier 1,Yamaha,2019,Second,Individual,Electric,Not Available,"2,48,237.00 ",2022,10.85,575,85.82,0.15,0.13,"1,57,756.37 ",41373,MT-15,90480.63
West Bengal,Tier 1,Honda,2017,Second,Individual,Petrol,Active,"70,899.00 ",2022,63.01,271,25.15,0.09,2.51,"30,904.95 ",8863,Unicorn,39994.05
Madhya Pradesh,Tier 1,Kawasaki,2021,Second,Dealer,Electric,Active,"3,69,662.00 ",2022,44.65,310,60.72,0.2,0.74,"2,94,445.55 ",92416,Vulcan S,75216.45
Gujarat,Tier 1,KTM,2018,Second,Dealer,Petrol,Expired,"2,30,249.00 ",2022,54.09,608,26.49,0.04,2.04,"1,55,779.50 ",32893,250 Duke,74469.5
Maharashtra,Tier 1,Royal Enfield,2020,Second,Dealer,Petrol,Active,"2,75,740.00 ",2022,41.92,836,44.46,0.05,0.94,"2,01,074.96 ",55148,Interceptor 650,74665.04
Madhya Pradesh,Tier 1,Honda,2016,Second,Individual,Electric,Expired,"3,52,157.00 ",2022,5.41,826,77.86,0.09,0.07,"2,26,885.87 ",39129,Activa,125271.13
Rajasthan,Tier 1,Yamaha,2020,Second,Dealer,Hybrid,Expired,"2,68,680.00 ",2022,12.62,217,81.77,0.38,0.15,"1,97,363.88 ",53736,R15 V4,71316.12
Gujarat,Tier 1,KTM,2021,Second,Dealer,Hybrid,Active,"1,03,198.00 ",2022,35.67,280,66.66,0.24,0.54,"56,460.79 ",25800,RC 390,46737.21
Rajasthan,Tier 1,Kawasaki,2016,Second,Dealer,Electric,Active,"3,26,983.00 ",2022,25.89,748,91.05,0.12,0.28,"1,70,717.76 ",36332,Vulcan S,156265.24
Maharashtra,Tier 1,Royal Enfield,2016,Second,Dealer,Hybrid,Not Available,"2,17,757.00 ",2022,29.74,709,98.41,0.14,0.3,"1,22,441.77 ",24196,Interceptor 650,95315.23
Uttar Pradesh,Tier 1,Hero,2015,Second,Individual,Hybrid,Expired,"2,35,683.00 ",2022,39.46,810,98.05,0.12,0.4,"1,64,187.60 ",23569,Xtreme 160R,71495.4
Maharashtra,Tier 1,TVS,2021,Second,Dealer,Electric,Expired,"3,39,469.00 ",2022,61.5,222,66.45,0.3,0.93,"2,39,906.32 ",84868,Sport,99562.68
Maharashtra,Tier 1,Bajaj,2018,Second,Individual,Hybrid,Not Available,"2,25,223.00 ",2022,62.98,132,62.81,0.48,1,"1,50,818.03 ",32175,Platina 110,74404.97
Uttar Pradesh,Tier 1,Yamaha,2018,Second,Dealer,Petrol,Active,"2,18,134.00 ",2022,11.92,779,38.07,0.05,0.31,"1,50,235.49 ",31162,Ray ZR,67898.51
Karnataka,Tier 1,Bajaj,2015,Second,Dealer,Electric,Not Available,"2,84,896.00 ",2022,6.64,302,96.29,0.32,0.07,"1,85,003.89 ",28490,CT 100,99892.11
Delhi,Tier 1,Hero,2020,Second,Individual,Hybrid,Expired,"2,99,859.00 ",2022,14.34,598,87.08,0.15,0.16,"1,73,448.35 ",59972,Glamour,126410.65
Gujarat,Tier 1,Royal Enfield,2020,Second,Individual,Petrol,Expired,"79,549.00 ",2022,13.41,434,43.55,0.1,0.31,"46,793.97 ",15910,Hunter 350,32755.03
Maharashtra,Tier 1,Honda,2021,Second,Individual,Hybrid,Not Available,"3,81,163.00 ",2022,65.58,499,74.47,0.15,0.88,"2,48,398.63 ",95291,Dio,132764.37
Madhya Pradesh,Tier 1,Yamaha,2018,Second,Individual,Petrol,Not Available,"3,15,890.00 ",2022,62.4,637,56.03,0.09,1.11,"1,74,829.32 ",45128,MT-15,141060.68
Karnataka,Tier 1,TVS,2020,Second,Individual,Electric,Active,"2,38,096.00 ",2022,78.37,396,61.96,0.16,1.26,"1,23,151.47 ",47620,NTorq 125,114944.53
Maharashtra,Tier 1,Bajaj,2018,Second,Individual,Hybrid,Expired,"3,31,978.00 ",2022,10.32,849,65.33,0.08,0.16,"1,51,755.42 ",47426,Pulsar 150,180222.58
Tamil Nadu,Tier 1,Hero,2021,Second,Individual,Hybrid,Active,"1,14,557.00 ",2022,11.63,346,75.46,0.22,0.15,"78,722.93 ",28640,Glamour,35834.07
Delhi,Tier 1,TVS,2018,Second,Dealer,Petrol,Expired,"3,27,248.00 ",2022,36.45,327,40.42,0.12,0.9,"2,08,708.35 ",46750,Apache RTR 160,118539.65
Delhi,Tier 1,Hero,2020,Second,Dealer,Electric,Active,"1,38,162.00 ",2022,68.06,376,86.91,0.23,0.78,"65,702.89 ",27633,Xtreme 160R,72459.11
Punjab,Tier 1,Royal Enfield,2018,Second,Dealer,Hybrid,Active,"1,35,387.00 ",2022,57.99,763,63.66,0.08,0.91,"94,331.83 ",19341,Hunter 350,41055.17
Punjab,Tier 1,Honda,2021,Second,Individual,Hybrid,Expired,"92,867.00 ",2022,66.3,789,91.72,0.12,0.72,"63,816.54 ",23217,Unicorn,29050.46
Rajasthan,Tier 1,KTM,2020,Third,Dealer,Hybrid,Active,"71,253.00 ",2022,79,652,63.97,0.1,1.24,"42,173.59 ",14251,390 Adventure,29079.41
Tamil Nadu,Tier 1,Honda,2019,Third,Dealer,Petrol,Not Available,"2,52,763.00 ",2022,5.01,235,58.71,0.25,0.09,"1,91,177.64 ",42128,Shine,61585.36
Punjab,Tier 1,Hero,2017,Third,Dealer,Petrol,Not Available,"3,29,516.00 ",2022,63.97,485,43.94,0.09,1.46,"1,55,553.74 ",41190,Passion Pro,173962.26
Tamil Nadu,Tier 1,Yamaha,2017,Third,Individual,Hybrid,Expired,"1,85,605.00 ",2022,18.64,603,88.46,0.15,0.21,"85,728.06 ",23201,MT-15,99876.94
Punjab,Tier 1,Kawasaki,2016,Third,Individual,Hybrid,Active,"3,50,436.00 ",2022,47.58,783,80.04,0.1,0.59,"2,09,018.31 ",38938,Z650,141417.69
Punjab,Tier 1,Hero,2015,Third,Dealer,Electric,Not Available,"1,60,474.00 ",2022,52.45,919,76.03,0.08,0.69,"84,888.54 ",16048,HF Deluxe,75585.46
Tamil Nadu,Tier 1,Bajaj,2017,Third,Individual,Petrol,Active,"2,15,250.00 ",2022,66.6,968,30.1,0.03,2.21,"1,30,107.12 ",26907,Platina 110,85142.88
Tamil Nadu,Tier 1,Bajaj,2020,Third,Dealer,Petrol,Not Available,"1,98,473.00 ",2022,64.66,192,32.17,0.17,2.01,"1,23,536.00 ",39695,Dominar 400,74937
Delhi,Tier 1,TVS,2019,Third,Individual,Electric,Expired,"3,14,719.00 ",2022,18.52,631,87.71,0.14,0.21,"1,88,629.11 ",52454,NTorq 125,126089.89
Karnataka,Tier 1,TVS,2016,Third,Dealer,Hybrid,Not Available,"1,35,871.00 ",2022,63.54,510,99.2,0.19,0.64,"56,773.91 ",15097,NTorq 125,79097.09
Tamil Nadu,Tier 1,Yamaha,2020,Third,Individual,Electric,Expired,"2,26,268.00 ",2022,30.61,759,82.07,0.11,0.37,"98,416.52 ",45254,MT-15,127851.48
Uttar Pradesh,Tier 1,Kawasaki,2017,Third,Dealer,Hybrid,Not Available,"2,70,476.00 ",2022,38.34,963,84.98,0.09,0.45,"1,81,794.54 ",33810,Vulcan S,88681.46
Maharashtra,Tier 1,Yamaha,2017,Third,Dealer,Electric,Active,"2,92,413.00 ",2022,50.6,405,80.66,0.2,0.63,"2,09,750.68 ",36552,FZ V3,82662.32
Punjab,Tier 1,Yamaha,2019,Third,Individual,Petrol,Expired,"1,48,656.00 ",2022,23.86,796,59.36,0.07,0.4,"66,806.39 ",24776,R15 V4,81849.61
Rajasthan,Tier 1,Kawasaki,2021,Third,Dealer,Petrol,Expired,"2,68,765.00 ",2022,51.2,296,34.62,0.12,1.48,"1,99,403.72 ",67192,Ninja 400,69361.28
Delhi,Tier 1,Hero,2017,Third,Individual,Hybrid,Active,"2,73,974.00 ",2022,23.19,110,93.37,0.85,0.25,"1,20,490.57 ",34247,Glamour,153483.43
Tamil Nadu,Tier 1,Royal Enfield,2019,Third,Individual,Hybrid,Not Available,"2,09,752.00 ",2022,61.22,898,76.83,0.09,0.8,"1,48,602.85 ",34959,Meteor 350,61149.15
Maharashtra,Tier 1,Kawasaki,2019,Third,Individual,Petrol,Expired,"3,29,068.00 ",2022,66.94,565,42.27,0.07,1.58,"2,04,924.13 ",54845,Vulcan S,124143.87
Delhi,Tier 1,Hero,2018,Third,Individual,Hybrid,Not Available,"86,203.00 ",2022,7.59,372,91.81,0.25,0.08,"65,575.26 ",12315,Passion Pro,20627.74
Gujarat,Tier 1,Yamaha,2021,Third,Dealer,Petrol,Not Available,"63,155.00 ",2022,71.13,982,26.15,0.03,2.72,"36,007.92 ",15789,Fascino 125,27147.08
Madhya Pradesh,Tier 1,Honda,2019,Third,Dealer,Electric,Active,"2,12,387.00 ",2022,31.35,535,86.87,0.16,0.36,"1,18,501.48 ",35398,Activa,93885.52
Uttar Pradesh,Tier 1,TVS,2017,Third,Individual,Petrol,Not Available,"3,08,031.00 ",2022,43.65,552,57.62,0.1,0.76,"1,36,870.05 ",38504,Jupiter,171160.95
Delhi,Tier 1,Royal Enfield,2019,Third,Individual,Hybrid,Active,"2,14,853.00 ",2022,8.7,437,64.06,0.15,0.14,"1,69,702.17 ",35809,Hunter 350,45150.83
Karnataka,Tier 1,Kawasaki,2019,Third,Individual,Petrol,Not Available,"51,048.00 ",2022,73.02,213,55.61,0.26,1.31,"36,888.78 ",8508,Versys 650,14159.22
Delhi,Tier 1,Yamaha,2021,Third,Individual,Petrol,Active,"2,53,284.00 ",2022,55.67,461,40.51,0.09,1.37,"1,74,166.72 ",63321,Fascino 125,79117.28
West Bengal,Tier 1,Bajaj,2019,Third,Dealer,Petrol,Expired,"2,83,873.00 ",2022,31.06,703,54.57,0.08,0.57,"1,54,072.52 ",47313,Platina 110,129800.48
Punjab,Tier 1,Hero,2016,Third,Dealer,Hybrid,Expired,"3,28,876.00 ",2022,11.33,133,74.55,0.56,0.15,"1,99,475.92 ",36542,Xtreme 160R,129400.08
Rajasthan,Tier 1,Hero,2018,Third,Dealer,Petrol,Active,"77,627.00 ",2022,18.43,113,39.41,0.35,0.47,"54,525.25 ",11090,Xtreme 160R,23101.75
Tamil Nadu,Tier 1,TVS,2018,Third,Dealer,Hybrid,Active,"1,31,264.00 ",2022,65.09,528,94.43,0.18,0.69,"80,491.39 ",18752,NTorq 125,50772.61
Rajasthan,Tier 1,Honda,2018,Third,Individual,Electric,Not Available,"1,34,620.00 ",2022,32.24,660,71.68,0.11,0.45,"61,334.18 ",19232,Dio,73285.82
West Bengal,Tier 1,Royal Enfield,2020,Third,Individual,Electric,Expired,"1,20,622.00 ",2022,28.12,315,97.18,0.31,0.29,"73,290.11 ",24125,Hunter 350,47331.89
Maharashtra,Tier 1,Bajaj,2015,Third,Dealer,Petrol,Expired,"1,93,068.00 ",2022,11.6,116,55.8,0.48,0.21,"1,39,480.26 ",19307,Dominar 400,53587.74
Gujarat,Tier 1,KTM,2017,Third,Individual,Hybrid,Active,"52,310.00 ",2022,77.71,318,80.78,0.25,0.96,"38,432.51 ",6539,Duke 200,13877.49
Delhi,Tier 1,KTM,2019,Third,Individual,Petrol,Expired,"2,10,577.00 ",2022,20.63,803,43.77,0.05,0.47,"1,48,405.56 ",35097,125 Duke,62171.44
Punjab,Tier 1,TVS,2020,Third,Individual,Electric,Active,"1,16,059.00 ",2022,36.13,690,77.85,0.11,0.46,"82,992.13 ",23212,NTorq 125,33066.87
Uttar Pradesh,Tier 1,KTM,2019,Third,Individual,Petrol,Active,"1,29,213.00 ",2022,45.65,620,45.16,0.07,1.01,"84,131.96 ",21536,Duke 200,45081.04
Uttar Pradesh,Tier 1,Kawasaki,2021,Third,Dealer,Petrol,Expired,"99,188.00 ",2022,69.69,884,38.37,0.04,1.82,"48,082.34 ",24797,Ninja 300,51105.66
Maharashtra,Tier 1,Bajaj,2018,Third,Dealer,Electric,Active,"3,30,916.00 ",2022,18.26,690,76.79,0.11,0.24,"1,66,310.90 ",47274,Pulsar 150,164605.1
Madhya Pradesh,Tier 1,Honda,2016,Third,Dealer,Electric,Not Available,"1,86,152.00 ",2022,45.03,725,95.7,0.13,0.47,"1,38,048.29 ",20684,Unicorn,48103.71
Delhi,Tier 1,Royal Enfield,2021,Third,Individual,Petrol,Not Available,"2,23,132.00 ",2022,17.05,861,34.39,0.04,0.5,"1,63,954.06 ",55783,Himalayan,59177.94
Rajasthan,Tier 1,Hero,2020,Third,Individual,Hybrid,Active,"1,79,748.00 ",2022,32.38,767,89.41,0.12,0.36,"91,491.82 ",35950,Passion Pro,88256.18
